Algoritmo,Versao,Threads,Tamanho,Tipo,Amostra,Tempo_ms
Insertion,Paralelo,4,5000,Ordenado,3,0.6479
Insertion,Paralelo,8,5000,Ordenado,3,0.8185
Merge,Serial,1,5000,Ordenado,3,0.5008
Merge,Paralelo,1,5000,Ordenado,3,1.0246
Merge,Paralelo,2,5000,Ordenado,3,1.0643
Merge,Paralelo,4,5000,Ordenado,3,0.9889
Merge,Paralelo,8,5000,Ordenado,3,3.2593
Bubble,Serial,1,5000,Ordenado,4,7.8734
Bubble,Paralelo,1,5000,Ordenado,4,10.4743
Bubble,Paralelo,2,5000,Ordenado,4,3.6056
Bubble,Paralelo,4,5000,Ordenado,4,2.5707
Bubble,Paralelo,8,5000,Ordenado,4,2.3882
Selection,Serial,1,5000,Ordenado,4,10.1145
Selection,Paralelo,1,5000,Ordenado,4,7.4231
Selection,Paralelo,2,5000,Ordenado,4,4.9624
Selection,Paralelo,4,5000,Ordenado,4,2.0051
Selection,Paralelo,8,5000,Ordenado,4,1.5485
Insertion,Serial,1,5000,Ordenado,4,0.3043
Insertion,Paralelo,1,5000,Ordenado,4,0.446
Insertion,Paralelo,2,5000,Ordenado,4,0.7545
Insertion,Paralelo,4,5000,Ordenado,4,0.8192
Insertion,Paralelo,8,5000,Ordenado,4,0.9279
Merge,Serial,1,5000,Ordenado,4,0.4203
Merge,Paralelo,1,5000,Ordenado,4,0.6353
Merge,Paralelo,2,5000,Ordenado,4,0.9404
Merge,Paralelo,4,5000,Ordenado,4,2.4675
Merge,Paralelo,8,5000,Ordenado,4,2.3767
Bubble,Serial,1,5000,Ordenado,5,7.6913
Bubble,Paralelo,1,5000,Ordenado,5,9.1892
Bubble,Paralelo,2,5000,Ordenado,5,2.8955
Bubble,Paralelo,4,5000,Ordenado,5,1.6398
Bubble,Paralelo,8,5000,Ordenado,5,3.8843
Selection,Serial,1,5000,Ordenado,5,9.2406
Selection,Paralelo,1,5000,Ordenado,5,6.8908
Selection,Paralelo,2,5000,Ordenado,5,4.7164
Selection,Paralelo,4,5000,Ordenado,5,1.888
Selection,Paralelo,8,5000,Ordenado,5,1.8495
